"year","pH","sd","from"
"2019",8.05545454545454,0.188327567624267,"in-situ"
"1951",8.131488,0.05784772,"Borges & Gyphens, 2010"
"1952",8.13183,0.05764256,"Borges & Gyphens, 2010"
"1953",8.132726,0.05865144,"Borges & Gyphens, 2010"
"1954",8.140868,0.0608173,"Borges & Gyphens, 2010"
"1955",8.140982,0.06038365,"Borges & Gyphens, 2010"
"1956",8.144069,0.06210333,"Borges & Gyphens, 2010"
"1957",8.141692,0.06263966,"Borges & Gyphens, 2010"
"1958",8.144436,0.06185444,"Borges & Gyphens, 2010"
"1959",8.141322,0.06425253,"Borges & Gyphens, 2010"
"1960",8.142306,0.06437366,"Borges & Gyphens, 2010"
"1961",8.13741,0.06460808,"Borges & Gyphens, 2010"
"1962",8.136066,0.0654644,"Borges & Gyphens, 2010"
"1963",8.143192,0.06301598,"Borges & Gyphens, 2010"
"1964",8.143938,0.06072447,"Borges & Gyphens, 2010"
"1965",8.14592,0.06388364,"Borges & Gyphens, 2010"
"1966",8.146342,0.06523515,"Borges & Gyphens, 2010"
"1967",8.142844,0.0678706,"Borges & Gyphens, 2010"
"1968",8.165484,0.05845867,"Borges & Gyphens, 2010"
"1969",8.162072,0.06021282,"Borges & Gyphens, 2010"
"1970",8.174153,0.06443581,"Borges & Gyphens, 2010"
"1971",8.162586,0.06472288,"Borges & Gyphens, 2010"
"1972",8.169219,0.06723154,"Borges & Gyphens, 2010"
"1973",8.176508,0.06771268,"Borges & Gyphens, 2010"
"1974",8.182914,0.07419593,"Borges & Gyphens, 2010"
"1975",8.188895,0.07900976,"Borges & Gyphens, 2010"
"1976",8.190072,0.08229031,"Borges & Gyphens, 2010"
"1977",8.190329,0.0771743,"Borges & Gyphens, 2010"
"1978",8.196532,0.08299756,"Borges & Gyphens, 2010"
"1979",8.19617,0.08350563,"Borges & Gyphens, 2010"
"1980",8.194778,0.08728372,"Borges & Gyphens, 2010"
"1981",8.193,0.0871123,"Borges & Gyphens, 2010"
"1982",8.192013,0.0870856,"Borges & Gyphens, 2010"
"1983",8.202383,0.08863612,"Borges & Gyphens, 2010"
"1984",8.195111,0.08952906,"Borges & Gyphens, 2010"
"1985",8.212761,0.09947705,"Borges & Gyphens, 2010"
"1986",8.215841,0.09739579,"Borges & Gyphens, 2010"
"1987",8.209799,0.1028685,"Borges & Gyphens, 2010"
"1988",8.217415,0.1064369,"Borges & Gyphens, 2010"
"1989",8.222245,0.1095216,"Borges & Gyphens, 2010"
"1990",8.219363,0.109377,"Borges & Gyphens, 2010"
"1991",8.204056,0.1003882,"Borges & Gyphens, 2010"
"1992",8.206482,0.1072283,"Borges & Gyphens, 2010"
"1993",8.204202,0.1005685,"Borges & Gyphens, 2010"
"1994",8.18595,0.07455003,"Borges & Gyphens, 2010"
"1995",8.183083,0.07428522,"Borges & Gyphens, 2010"
"1996",8.194311,0.08987282,"Borges & Gyphens, 2010"
"1997",8.17308,0.08242394,"Borges & Gyphens, 2010"
"1998",8.179015,0.08001313,"Borges & Gyphens, 2010"
