year;pH;sd
1951;8.131488;0.05784772
1952;8.13183;0.05764256
1953;8.132726;0.05865144
1954;8.140868;0.0608173
1955;8.140982;0.06038365
1956;8.144069;0.06210333
1957;8.141692;0.06263966
1958;8.144436;0.06185444
1959;8.141322;0.06425253
1960;8.142306;0.06437366
1961;8.13741;0.06460808
1962;8.136066;0.0654644
1963;8.143192;0.06301598
1964;8.143938;0.06072447
1965;8.14592;0.06388364
1966;8.146342;0.06523515
1967;8.142844;0.0678706
1968;8.165484;0.05845867
1969;8.162072;0.06021282
1970;8.174153;0.06443581
1971;8.162586;0.06472288
1972;8.169219;0.06723154
1973;8.176508;0.06771268
1974;8.182914;0.07419593
1975;8.188895;0.07900976
1976;8.190072;0.08229031
1977;8.190329;0.0771743
1978;8.196532;0.08299756
1979;8.19617;0.08350563
1980;8.194778;0.08728372
1981;8.193;0.0871123
1982;8.192013;0.0870856
1983;8.202383;0.08863612
1984;8.195111;0.08952906
1985;8.212761;0.09947705
1986;8.215841;0.09739579
1987;8.209799;0.1028685
1988;8.217415;0.1064369
1989;8.222245;0.1095216
1990;8.219363;0.109377
1991;8.204056;0.1003882
1992;8.206482;0.1072283
1993;8.204202;0.1005685
1994;8.18595;0.07455003
1995;8.183083;0.07428522
1996;8.194311;0.08987282
1997;8.17308;0.08242394
1998;8.179015;0.08001313
