country;location;sampleID;day;month;year
Belgium;BLA;ID1-1;10;7;1888
Belgium;BLA;ID1-2;10;7;1888
Belgium;BLA;ID1-3;10;7;1888
Belgium;BLA;ID1-4;10;7;1888
Belgium;BLA;ID1-5;10;7;1888
Belgium;BLA;ID1-6;10;7;1888
Netherland;ZOU;ID2-1;28;7;1904
Netherland;ZOU;ID2-2;28;7;1904
Netherland;ZOU;ID2-3;28;7;1904
Netherland;ZOU;ID2-4;28;7;1904
Netherland;ZOU;ID2-5;28;7;1904
Netherland;ZOU;ID2-6;28;7;1904
Netherland;ZOU;ID2-7;28;7;1904
Netherland;ZOU;ID2-8;28;7;1904
Netherland;ZOU;ID2-9;28;7;1904
Netherland;ZOU;ID2-10;28;7;1904
Netherland;ZWA;ID3-1;26;5;1911
Netherland;ZWA;ID3-2;26;5;1911
Netherland;ZWA;ID3-3;26;5;1911
Netherland;ZWA;ID3-4;26;5;1911
Netherland;ZWA;ID3-5;26;5;1911
Netherland;ZWA;ID3-6;26;5;1911
Netherland;ZWA;ID3-7;26;5;1911
Netherland;ZWA;ID3-8;26;5;1911
Netherland;ZWA;ID3-9;26;5;1911
Netherland;ZWA;ID3-10;26;5;1911
Belgium;ZEE;ID4-1;4;6;1911
Belgium;ZEE;ID4-2;4;6;1911
Belgium;KNO;ID7-1;15;6;1928
Belgium;KNO;ID7-2;15;6;1928
Belgium;KNO;ID7-3;15;6;1928
Belgium;KNO;ID7-4;15;6;1928
Belgium;KNO;ID7-5;15;6;1928
Belgium;ZEE;ID8-1;27;7;1929
Belgium;ZEE;ID8-2;27;7;1929
Belgium;ZEE;ID8-3;27;7;1929
Belgium;ZEE;ID8-4;27;7;1929
Belgium;ZEE;ID8-5;27;7;1929
Belgium;ZEE;ID9-1;5;8;1929
Belgium;ZEE;ID9-2;5;8;1929
Belgium;KNO;ID10-1;10;8;1932
Belgium;KNO;ID10-2;10;8;1932
Belgium;KNO;ID10-3;10;8;1932
Belgium;KNO;ID10-4;10;8;1932
Belgium;KNO;ID10-5;10;8;1932
Belgium;KNO;ID10-6;10;8;1932
Belgium;KNO;ID10-7;10;8;1932
Belgium;DUI;ID12-1;13;7;1936
Belgium;DUI;ID12-2;13;7;1936
Belgium;DUI;ID12-3;13;7;1936
Belgium;DUI;ID12-4;13;7;1936
Belgium;DUI;ID12-5;13;7;1936
Belgium;DUI;ID12-6;13;7;1936
Belgium;DUI;ID12-7;13;7;1936
Belgium;DUI;ID12-8;13;7;1936
Belgium;DUI;ID12-9;13;7;1936
Belgium;DUI;ID12-10;13;7;1936
Belgium;BLA;ID14-1;29;7;1937
Belgium;BLA;ID14-2;29;7;1937
Belgium;BLA;ID14-3;29;7;1937
Belgium;BLA;ID14-4;29;7;1937
Belgium;BLA;ID14-5;29;7;1937
Belgium;BLA;ID14-6;29;7;1937
Belgium;BLA;ID14-7;29;7;1937
Belgium;BLA;ID14-8;29;7;1937
Belgium;BLA;ID14-9;29;7;1937
Belgium;BLA;ID14-10;29;7;1937
Belgium;ZEE;ID16-1;22;4;1938
Belgium;ZEE;ID16-2;22;4;1938
Belgium;ZEE;ID16-3;22;4;1938
Belgium;ZEE;ID16-4;22;4;1938
Belgium;ZEE;ID16-5;22;4;1938
Belgium;ZEE;ID16-6;22;4;1938
Belgium;ZEE;ID16-7;22;4;1938
Belgium;ZEE;ID16-8;22;4;1938
Belgium;ZEE;ID16-9;22;4;1938
Belgium;ZEE;ID16-10;22;4;1938
Belgium;KNO;ID18-1;13;9;1945
Belgium;KNO;ID18-2;13;9;1945
Belgium;KNO;ID18-3;13;9;1945
Belgium;KNO;ID18-4;13;9;1945
Belgium;KNO;ID18-5;13;9;1945
Belgium;KNO;ID18-6;13;9;1945
Belgium;KNO;ID18-7;13;9;1945
Belgium;KNO;ID18-8;13;9;1945
Belgium;KNO;ID18-9;13;9;1945
Belgium;KNO;ID18-10;13;9;1945
Belgium;OST;ID19-1;19;4;1946
Belgium;OST;ID19-2;19;4;1946
Belgium;ZEE;ID22-1;15;10;1946
Belgium;ZEE;ID22-2;15;10;1946
Belgium;ZEE;ID22-3;15;10;1946
Belgium;OST;ID20-1;19;8;1946
Belgium;OST;ID20-2;19;8;1946
Belgium;OST;ID20-3;19;8;1946
Belgium;OST;ID20-4;19;8;1946
Belgium;OST;ID20-5;19;8;1946
Belgium;OST;ID20-6;19;8;1946
Belgium;OST;ID20-7;19;8;1946
Belgium;OST;ID20-8;19;8;1946
Belgium;OST;ID20-9;19;8;1946
Belgium;ZEE;ID24-1;17;9;1947
Belgium;ZEE;ID24-2;17;9;1947
Belgium;ZEE;ID24-3;17;9;1947
Belgium;ZEE;ID24-4;17;9;1947
Belgium;ZEE;ID24-5;17;9;1947
Belgium;ZEE;ID24-6;17;9;1947
Belgium;ZEE;ID24-7;17;9;1947
Belgium;ZEE;ID24-8;17;9;1947
Belgium;ZEE;ID24-9;17;9;1947
Belgium;ZEE;ID24-10;17;9;1947
Belgium;ZEE;ID25-1;1;12;1948
Belgium;ZEE;ID25-2;1;12;1948
Belgium;ZEE;ID25-3;1;12;1948
Belgium;ZEE;ID26-1;27;8;1949
Belgium;ZEE;ID26-2;27;8;1949
Belgium;ZEE;ID26-3;27;8;1949
Belgium;ZEE;ID26-4;27;8;1949
Belgium;ZEE;ID26-5;27;8;1949
Belgium;ZEE;ID26-6;27;8;1949
Belgium;ZEE;ID26-7;27;8;1949
Belgium;ZEE;ID26-8;27;8;1949
Belgium;ZEE;ID26-9;27;8;1949
Belgium;ZEE;ID27-1;15;4;1967
Belgium;ZEE;ID27-2;15;4;1967
Belgium;ZEE;ID27-3;15;4;1967
Belgium;ZEE;ID27-4;15;4;1967
Belgium;ZEE;ID31-1;;;1977
Belgium;ZEE;ID31-2;;;1977
Belgium;ZEE;ID31-3;;;1977
Belgium;ZEE;ID31-4;;;1977
Belgium;ZEE;ID31-5;;;1977
Belgium;ZEE;ID31-6;;;1977
Belgium;ZEE;ID31-7;;;1977
Belgium;ZEE;ID31-8;;;1977
Belgium;ZEE;ID31-9;;;1977
Belgium;ZEE;ID31-10;;;1977
Belgium;ZEE;ID32-1;;;1978
Belgium;ZEE;ID32-2;;;1978
Belgium;ZEE;ID32-3;;;1978
Belgium;ZEE;ID32-4;;;1978
Belgium;ZEE;ID33-1;4;6;2019
Belgium;ZEE;ID33-2;4;6;2019
Belgium;ZEE;ID33-3;4;6;2019
Belgium;ZEE;ID33-4;4;6;2019
Belgium;ZEE;ID33-5;4;6;2019
Belgium;ZEE;ID33-6;4;6;2019
Belgium;ZEE;ID33-7;4;6;2019
Belgium;ZEE;ID33-8;4;6;2019
Belgium;ZEE;ID33-9;4;6;2019
